Hugo_Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CTR,1.0301845630269797,0.0005096255820872477,0.04638753399518676,0.6105553533513629,0.5414939875254863,0.9995925663468931
CALD1,1136.345017299477,-0.0012275398381050727,0.041664180172386746,-0.3987152773537436,0.6901030096727356,0.9995925663468931
CALHM1,138.54079641326072,0.0002817540178557201,0.04830662012487073,0.45580318294200967,0.6485315150747841,0.9995925663468931
CALHM2,400.6446592096301,0.0031360270514664084,0.04424407828218281,0.9158048709160437,0.3597692482842775,0.9747211567690703
CALHM3,22.927638331189442,8.539611383733628e-05,0.04400171182408831,0.10168323169819064,,0.9995925663468931
CALM1,6205.402651180364,-0.00976636677551846,0.04209979758469398,-1.1018061276688709,0.2705459658336774,0.934707300784041
CALM2,9264.527443098092,0.0026883851073908963,0.04217995247742019,0.583559235957503,0.5595168926334952,0.9995925663468931
CALM3,10340.995493730492,-0.003431802106005721,0.040065394174643075,-1.6384910223242586,0.10131930531551886,0.706243771820713
CALML3,1.4740916877750037,-0.0004304246875133189,0.03555349100196719,-0.8157159317790333,,0.9995925663468931
CALML4,394.7261332461467,0.002512638161694128,0.04585336731358196,1.0585492601427473,0.2898051053481754,0.9478453329471908
CALML5,3.031936609671216,0.0008931182927109367,0.08992659702666014,2.366953325609259,0.017935194508036458,0.34097737521841276
CALML6,5.780536606462125,0.0008884505094352279,0.04926116775911205,0.9290936899610106,0.35284053431746953,0.973630055168596
CALN1,1.7411267487310589,0.0003045453788669564,0.04648847543901511,0.42651676272939243,0.669731336100323,0.9995925663468931
CALR3,0.33415678776173524,-0.0005190591665248539,0.039452264814867105,-0.5856555357943382,0.5581070199045268,0.9995925663468931
CALR,27440.64428182733,-0.004493699297813845,0.04160078257161244,-0.684242625554827,0.4938219699730204,0.9995925663468931
CALU,1508.9405351683538,0.0013880615737210454,0.043041711848810255,0.4684592626844769,0.6394561965661252,0.9995925663468931
CALY,1.8746535908676856,0.0010280855030714712,0.057246194116103905,1.5345353975832436,,0.7518982679112808
CAMK1D,148.10489467059278,-0.0009548025221243915,0.04136461475254434,-0.5045689649709663,0.6138616122978056,0.9995925663468931
CAMK1G,19.69638053162271,-0.0010609121118584548,0.04033471867583208,-0.7140157998566631,0.47521740955808456,0.9995925663468931
CAMK1,589.586299174488,1.116240349759116,0.42059581793410117,3.5654666778846713,0.0003632093097467743,0.03572982562744249
KIAA0968,5.935583066888412,0.0012322440417339108,0.047694997451167606,0.983767956383935,0.32522961802524386,0.9634939436862406
CAMK2B,431.7644760678565,0.0010106317917030574,0.05731131550057047,1.4069236469541877,0.15945003075708564,0.8117309023929971
CAMK2D,1222.1020000038927,0.25098605234323845,0.2272202174845383,2.730275508596755,0.006328141585628585,0.2109520686717516
CAMK2G,490.5326672605003,0.0009069613829521026,0.04220735463960152,0.21445748695527375,0.8301903161784117,0.9995925663468931
