Hugo_Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
KCTD17,617.868439991674,0.011713499753098409,0.07202949966612203,0.8904008564506616,0.37325068267388095,0.938001423673454
KCTD18,319.3435217210138,-0.0027417964511276334,0.06703203480088366,-0.20452086484144377,0.8379464887856976,0.9994535312272573
KCTD19,7.039633928495455,0.0004820827129713066,0.07333105254923088,0.14360233792624416,,0.9994535312272573
KCTD1,74.63408253290605,-0.012550851889407766,0.06953847486349501,-1.1494416639222735,0.2503739084033909,0.8679974198206465
KCTD20,1110.629365806545,-0.007966109724803218,0.06891675510611629,-0.7952387366568208,0.42647464269310187,0.9654347196734009
KCTD21,184.91978178666213,-0.014927254626496505,0.06878113383280161,-0.9781151825486839,0.32801735956680156,0.9114943302288834
KCTD2,923.3313835118826,-0.010265701006373116,0.06458887537098779,-0.5434562606359582,0.5868156983341599,0.9994535312272573
KCTD3,219.05852334623626,-0.00208929300951925,0.06918928801598967,-0.20429530983792044,0.8381227348937546,0.9994535312272573
KCTD4,0.2141354034554999,-0.0003809635640890655,0.06853507627889169,-0.12455540529158111,0.9008755347907563,0.9994535312272573
KCTD5,940.0370514767525,-0.004044778268533342,0.06411633252940699,-0.23514243942207413,0.8140981800919966,0.9994535312272573
KCTD6,129.4199866297566,-0.024204774949454597,0.07056073227380892,-1.232350684515171,0.21781811420872088,0.8391579796392035
KCTD7,382.53763061393335,7.597423717564807e-05,0.06839381350205388,0.005092184460214603,0.9959370421974234,0.9994535312272573
KCTD8,0.518145639613996,-0.0012529412213353119,0.06181982044792488,-0.6881349099029631,0.49136782843236027,0.9951741681596322
KCTD9,398.85171819886347,-0.002792328835146082,0.06761979375745596,-0.1916001117432539,0.8480554549759441,0.9994535312272573
KDELC1,58.72215341087408,-0.03107159988932518,0.08127200080362172,-2.4762427602853854,0.013277326536193417,0.29474489925700165
KDELC2,333.9852774982639,-0.01480439536040089,0.06968003786065542,-1.0889468679973076,0.2761773166043986,0.8825360493020813
KDELR1,2144.113221324386,0.01995739611037253,0.0653341883213083,0.8604893824414939,0.3895193338129401,0.9492932842572668
KDELR2,2526.8335667021206,0.02717638940923631,0.06716519263223049,1.144061494558975,0.25259813506841133,0.8681062604220531
KDELR3,98.4304184505944,0.0017555814172996386,0.07029550670956958,0.17346589967400186,0.8622852296374117,0.9994535312272573
KDM1A,1939.1257716436205,-0.0017912857471408428,0.0668196555543881,-0.0706347387133323,0.9436884619562521,0.9994535312272573
KDM1B,584.9206763436882,0.015487147355712765,0.07562196771668378,1.2408093590670697,0.2146761830215178,0.8355550118067919
KDM2A,3187.010628489205,-0.04005487268041057,0.08892797957140815,-1.704780175254473,0.08823543024823251,0.6336951262216226
KDM2B,1816.9857912146535,0.007911123796039343,0.06913647404929098,0.5603136321982248,0.5752655306060265,0.9994535312272573
KDM3A,980.9902220057288,0.007545784032572351,0.06922909772356524,0.5779536640470113,0.5632954029645914,0.9994535312272573
KDM3B,1597.2631972261333,0.002196810459043349,0.06749479201202832,-0.0560673229746961,0.9552881754624724,0.9994535312272573
KDM4A,875.955334539114,-0.01721217725051914,0.06718935061126559,-0.8715071460185118,0.3834773057552505,0.9453106784611347
KDM4B,1491.7653798434367,-0.04084960573831623,0.09018405943798563,-2.1249754742540703,0.03358865942679533,0.43627627122583623
KDM4C,742.2258239429581,-0.008898091412708012,0.06756455503222457,-0.6183477305394387,0.5363461450191436,0.9994535312272573
KDM4E,0.47357544885563696,0.0009012830538728012,0.07434311564945585,0.2904751917813897,0.7714527271029142,0.9994535312272573
KDM4D,32.07162529271212,-0.005152113417799094,0.06858021240112247,-0.45602015071844715,0.648375487965649,0.9994535312272573
KDM5A,1407.8747767812822,0.005996757486048497,0.06407016594208924,0.1114132567096276,0.911288648174565,0.9994535312272573
KDM5B,628.8305964972677,0.0005881585105368245,0.0685006443264736,0.0462884927311236,0.9630803109496291,0.9994535312272573
KDM5C,2576.378414563393,-0.549254829262332,0.20768726891387776,-3.4782700399412527,0.000504661243327269,0.044419043118822964
HY,345.1548982050422,0.0034230219119354634,0.09900001680496258,1.4063200130975413,0.1596291199546923,0.7638985640764554
KDM6A,403.1130029448563,-0.01751492366660173,0.07119307916198817,-1.5376754875411962,0.12412797999367728,0.7026799160826842
KDM6B,810.3264518452779,-0.020547258353884962,0.07134115657636261,-1.3382595577649905,0.18081184034176412,0.7943381214386154
